estimated_population,building_type,quality_flag,estimated_units,footprint_area_sqft,GEOID,STAT_LAND_,people_per_unit_ratio,estimation_notes
2.6,single_family_detached,ok,1,341.6913883705835,482012516002,A1,3.1485642946317105,none
4.9,single_family_detached,ok,1,65.52810134060053,482012516001,A1,5.983539094650205,none
2.6,single_family_detached,ok,1,450.720708654437,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,246.60077268159154,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,385.6177840118743,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,400.6325082523105,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,300.3186769259989,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,347.60341256570433,482012516003,A1,2.8,none
4.9,single_family_detached,ok,1,699.9184578717277,482012516001,A1,5.983539094650205,none
2.6,single_family_detached,ok,1,436.072666441059,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,125.40465583715513,482012516003,A1,2.8,none
2.3,single_family_detached,ok,1,51.654871465801605,482012516003,A1,2.8,none
2.3,single_family_detached,ok,1,449.8635616144256,482012516003,A1,2.8,none
2.3,mobile_home,ok,1,63.39519285575605,482012516003,A2,2.8,none
2.6,single_family_detached,ok,1,135.05327620076278,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,376.94644966024646,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,356.41984668908,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,69.08582815936126,482012516003,A2,2.8,none
2.3,single_family_detached,ok,1,204.56829815940614,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,195.64992415231518,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,71.88455440910344,482012516002,A1,3.1485642946317105,none
2.0,single_family_detached,ok,1,294.3626217670129,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,361.9084875271133,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,312.3729935535481,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,116.28829263303865,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,246.72794522760793,482012517021,A1,2.5308641975308643,none
4.9,single_family_detached,ok,1,40.23907988962062,482012516001,A1,5.983539094650205,none
2.0,single_family_detached,ok,1,398.4779104137997,482012517021,A1,2.5308641975308643,none
4.9,single_family_detached,ok,1,144.13260621139554,482012516001,A1,5.983539094650205,none
4.9,mobile_home,ok,1,108.56632581566726,482012516001,A2,5.983539094650205,none
4.9,single_family_detached,ok,1,196.81129501827982,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,240.03950405973322,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,239.5044472628699,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,164.96558079115115,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,221.423504030335,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,37.72800207663748,482012516001,A1,5.983539094650205,none
2.6,single_family_detached,ok,1,159.99095496368096,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,350.87566305325254,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,696.7970275097696,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,126.86967935765587,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,241.42614951181355,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,333.3257599138746,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,567.9149541864662,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,101.17005046556447,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,294.82552396904896,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,290.05057930144255,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,319.7474942822975,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,232.702271101216,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,91.45528903283635,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,247.68613295932226,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,107.50600611419848,482012516003,A1,2.8,none
2.3,single_family_detached,ok,1,119.98534595911116,482012516003,A1,2.8,none
2.3,mobile_home,ok,1,107.37116677715855,482012516003,A2,2.8,none
2.6,single_family_detached,ok,1,475.68138219678906,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,168.95360140409133,482012516003,A2,2.8,none
2.3,single_family_detached,ok,1,197.73808418993772,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,278.69509780578176,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,124.82305164964734,482012516003,A2,2.8,none
2.6,single_family_detached,ok,1,69.52444988909164,482012516002,A1,3.1485642946317105,none
2.0,single_family_detached,ok,1,414.63883424584515,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,229.17909761739534,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,562.3490973881785,482012517021,A1,2.5308641975308643,none
4.9,single_family_detached,ok,1,162.5964179872162,482012516001,A1,5.983539094650205,none
